tile_id,eikonal_km2,sfincs_km2,eikonal_over_sfincs
897,16.7247,58.09776361899877,0.2878716659332958
906,106.4619,237.4558289113857,0.44834401618218306
923,73.8387,500.7815212065677,0.14744693418817711
951,1.9152,3.902337911446783,0.49078271627429204
966,1.3041,0.8575239124591518,1.5207739178493414
968,14.9598,15.686413706715651,0.9536787872421997
973,4.1679,0.8865151642228882,4.701442421070762
977,20.97,32.71005084028204,0.641087355760869
981,6.9021,19.300031199618118,0.3576211835417431
986,45.7785,30.429464756830946,1.5044135795955278
987,20.34,19.939590932674335,1.0200811074147729
991,9.9225,2.850396984372306,3.481094056161816
1003,1.809,1.885141920747833,0.9596094490765832
1012,5.7213,5.470420325808654,1.0458611330116139
1013,0.8487,0.35695008428974373,2.377643366267124
1016,6.4899,6.668971758457136,0.9731485205001731
1025,4.6629,5.267851737767815,0.8851615861869043
1033,2.0394,1.9539223439380895,1.0437467007463725
1039,20.1744,19.591953590063877,1.0297288581895943
1058,1.6839,2.1745246104088496,0.7743761518906869
1089,9.2412,9.055026455390038,1.0205602430348661
1094,173.3328,193.5442896316914,0.8955717594657365
1105,2.4264,13.383242122537062,0.1813013601475535
1106,52.7832,97.55832261691863,0.5410425126645864
1109,96.1956,169.48617354522037,0.5675719616994845
1116,5.0751,7.587027622870481,0.6689180865378058
1136,10.2645,0.17820300674144549,57.60003822434236
1137,0.2052,0.7910966075508716,0.2593867778491321
1143,1.773,1.1735125664524828,1.5108487549986465
1159,3.0222,0.11881845802289463,25.43544202044488
1161,53.4753,104.87406391233867,0.5099001412274681
1175,1.4742,0.9346099314933863,1.5773425365215392
1187,1.7424,1.9180288621154735,0.9084326281087527
1198,57.1743,6.631268058548875,8.621925624962822
1205,339.5457,298.1698318673111,1.1387661114928007
1238,11.6118,0.26375524372419873,44.02490671291497
1256,10.6776,7.364392689414955,1.4498955243583371
1258,50.2047,46.114420626251274,1.0886984877658916
1260,43.1685,73.52416915494906,0.5871334623180062
1261,17.0244,17.22584551364702,0.9883056240410709
1265,4.6395,5.137768783072406,0.9030184494261262
1271,5.7492,6.008785842328062,0.9567989525438825
1277,11.5947,11.821562093171158,0.980809465671021
1281,144.3456,183.64878773760887,0.7859872192907479
1293,288.8514,330.5207363342742,0.8739282236980991
1294,12.5784,4.162446759959961,3.0218764888469094
1297,190.0305,204.6851115675027,0.9284041156912881
1299,7.0902,14.48449928448609,0.4895025958953307
1301,219.0069,318.82907429553916,0.686910064535053
1302,5.8644,1.6782762544797472,3.494299573354757
1308,84.5118,181.39425357876686,0.4659011977096751
1315,38.6802,13.697413134280026,2.823905479144558
1319,365.7564,124.14370412699012,2.9462339840114438
1323,8.5734,14.122610628807127,0.6070690628906871
1329,1.8612,1.1997013423270686,1.5513861111381422
1358,1.6767,1.5673806931638992,1.0697464931863043
1387,42.8526,4.57996594639158,9.356532450587826
1394,0.4068,0.4747860062680781,0.8568070554512274
1399,56.8692,49.74510939390102,1.1432118793766775
1429,89.352,60.367283048424014,1.4801394975540925
1433,25.0848,27.68824972473407,0.9059727591806429
1445,405.8208,526.2558941955955,0.7711472773531864
1462,0.0594,0.1526327284893819,0.38916948277008784
1469,26.4213,19.10640763844352,1.382850219673863
1475,12.1968,1.677075877021746,7.272658421191904
1498,1.6803,1.7514861581275678,0.959356710986703
1519,23.4792,22.07695532376608,1.0635162166009544
1541,61.0983,30.708388553599082,1.9896289866645953
1547,2.3616,6.787390348150218,0.347939322606311
1552,3.4155,2.2251845760992874,1.5349288489080382
1556,70.6077,62.12866970958348,1.1364753233901708
1570,3.2994,1.1371455452875194,2.901475553127871
1572,0.4518,0.7369856428600456,0.6130377224808398
1574,0.3672,0.14470904419853545,2.5375055307269894
1579,0.8145,0.31922195244027984,2.5515162531072386
1587,0.4671,0.4942211787643654,0.945123398329119
1588,22.0518,19.058552166278098,1.1570553632619642
1590,3.1104,6.283084743343855,0.4950434582782098
1594,22.7808,17.9627837655261,1.2682221362437465
1611,0.09,0.03321421895274382,2.709682865884917
1615,4.7601,4.99011331882227,0.9539061932812869
1621,21.0978,12.937369905821342,1.6307642243812448
1624,8.6409,10.71972002820874,0.8060751565583462
1631,53.3106,1.8612689645418772,28.642072164525448
1647,5.9391,5.142529601600572,1.1548985538462437
1652,54.2214,57.26163673546354,0.9469062201363755
1656,116.0757,174.33919119808985,0.6658038230090847
1668,22.2939,29.80073744023622,0.7480989369712485
1669,54.63,218.03657458041582,0.2505542939533361
1672,8.9802,9.534183137366126,0.9418950601866488
1677,1.7469,1.43098287087664,1.2207693296355286
1685,20.5722,21.21585424206771,0.9696616391344052
1702,0.7137,88.85839601246694,0.008031880295249387
1704,7.8777,32.88738378530796,0.23953562409908893
1708,4.8906,4.364584224803479,1.12051910287519
1712,87.5457,49.85259568868502,1.7560911080076445
1719,36.8523,41.05901567504915,0.897544653570312
1720,29.2194,15.294821705840311,1.9104112857257174
1736,1.0701,0.05027880265498034,21.283323060478686
1738,1.2987,1.1546838245113675,1.1247234718556627
1748,75.0573,66.3416206152754,1.1313757382453478
1751,64.9062,0.894525900780744,72.55932996836619
1752,0.4932,0.7914324512877629,0.6231738402911075
1757,0.0072,1.9369423551909293,0.003717198904089367
1760,14.7105,0.41144493085512446,35.7532658609416
1773,14.6754,13.679351337194692,1.0728140273798665
1793,15.4242,13.668416592139915,1.1284555088019308
1798,14.3433,800.0463820298563,0.017928085573749565
1811,17.4591,12.245724079566232,1.4257303109689563
1817,121.7709,7.9921273007901785,15.236356406380134
1821,81.7389,61.37996295370974,1.3316870207569877
1823,1.1007,5.008633199313555,0.21976055266950945
1833,0.1098,0.11781366230745641,0.9319801952464283
1860,0.6462,0.6299813775512411,1.025744606152965
1875,211.4766,229.4190561683982,0.9217917793401256
1883,0.45,0.4946460867534822,0.9097413525567168
1897,0.0,0.0,
1913,0.1521,0.11423687840030805,1.3314439446341686
1921,2.52,1.6572364719141421,1.520603753723419
1923,3.7926,0.6777966897930857,5.595483213642996
1929,0.0108,0.21508920606398407,0.05021172469615816
1935,14.5602,18.58402216038918,0.7834794790028967
1944,0.243,0.26373613048255984,0.921375465528296
1948,1.5219,1.5219012537845755,0.9999991761721909
1955,17.7903,13.383928681069499,1.3292285414792266
1957,0.0,0.0,
1963,76.4172,65.49933850586788,1.1666865916997622
1970,5.3271,5.637202865756512,0.9449899403762372
1972,1.503,1.6087389971379864,0.9342721241132959
1981,3.3813,3.644423100887919,0.9278011653411449
2004,116.0424,68.75953975706986,1.6876552753259015
2008,0.0081,0.042285412521988926,0.19155542105183204
2020,22.509,16.573514499213303,1.358130769491796
2032,0.4392,0.18404753074971103,2.3863400840583653
2033,0.0009,0.03690438953572176,0.02438734284247789
2041,56.6379,52.17786766627538,1.0854774741323383
2042,19.2339,4.095868431611736,4.695927205950657
2050,40.8294,0.0017936077997290096,22763.839455966227
